sentence,label,clean_sentence,tokens
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",0,ford struggling face slowing truck suv sales surfeit date gotta cars,"['ford', 'face', 'truck', 'suv', 'sale', 'surfeit', 'date', 'car']"
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,0,pharmaceuticals group orion corp reported fall quarter earnings hit larger expenditures marketing,"['pharmaceuticals', 'group', 'orion', 'corp', 'fall', 'quarter', 'earning', 'large', 'expenditure']"
"However , the growth margin slowed down due to the financial crisis .",0,growth margin slowed financial crisis,"['growth', 'margin', 'financial', 'crisis']"
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",0,february finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss m fourth quarter year earlier profit m,"['february', 'finland', 'steel', 'maker', 'rautaruukki', 'oyj', 'hel', 'rtrks', 'ruukki', 'today', 'large', 'pretax', 'loss', 'fourth', 'quarter', 'year', 'early', 'profit']"
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",0,adpnews feb finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss eur million usd m fourth quarter,"['adpnews', 'feb', 'finland', 'steel', 'maker', 'rautaruukki', 'oyj', 'hel', 'rtrks', 'ruukki', 'today', 'large', 'pretax', 'loss', 'eur', 'usd', 'm', 'fourth', 'quarter']"
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",0,result taxes decreased nearly eur mn compared nearly eur previous accounting period,"['taxis', 'nearly', 'eur', 'mn', 'nearly', 'eur', 'previous', 'accounting', 'period']"
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,0,company slipped operating loss eur million profit eur million,"['company', 'loss', 'eur', 'profit', 'eur']"
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0,april finnish construction engineering company outotec oyj hel said today slipped net loss m quarter net profit m corresponding period year,"['april', 'finnish', 'construction', 'engineering', 'company', 'outotec', 'hel', 'today', 'net', 'loss', 'quarter', 'net', 'profit', 'corresponding', 'period', 'year']"
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,0,cramo slipped pretax loss eur million pretax profit eur million,"['cramo', 'pretax', 'loss', 'eur', 'pretax', 'profit', 'eur']"
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0,finnish solutions provider affecto oyj hel said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,"['finnish', 'solution', 'provider', 'affecto', 'hel', 'today', 'net', 'loss', 'eur', 'usd', 'second', 'quarter', 'profit', 'eur', 'corresponding', 'period', 'year', 'early']"
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",0,comptel slipped net loss m profit m previous year,"['comptel', 'net', 'loss', 'profit', 'previous', 'year']"
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0,profit taxes amounted eur mn eur mn,"['profit', 'taxis', 'eur', 'mn', 'eur', 'mn']"
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0,adpnews feb finnish real estate investor sponda oyj hel said today slipped net loss eur million usd m profit eur million,"['adpnews', 'feb', 'finnish', 'real', 'estate', 'investor', 'sponda', 'oyj', 'hel', 'today', 'net', 'loss', 'eur', 'usd', 'profit', 'eur']"
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",0,adpnews jul finland based steel maker rautaruukki oyj ruukki hel rtrks said today slipped net loss eur million usd m half net profit eur,"['adpnews', 'jul', 'finland', 'steel', 'maker', 'rautaruukki', 'oyj', 'ruukki', 'hel', 'rtrks', 'today', 'net', 'loss', 'eur', 'usd', 'half', 'net', 'profit', 'eur']"
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",0,profit taxes amounted eur mn eur mn year ago,"['profit', 'taxis', 'eur', 'mn', 'eur', 'mn', 'year', 'ago']"
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",0,profit taxes decreased eur mn months compared eur mn year earlier,"['profit', 'taxis', 'eur', 'mn', 'month', 'eur', 'mn', 'year', 'early']"
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,0,profit taxes decreased eur mn eur mn year,"['profit', 'taxis', 'eur', 'mn', 'eur', 'mn', 'year']"
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",0,profit taxes eur mn eur mn,"['profit', 'taxis', 'eur', 'mn', 'eur', 'mn']"
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0,company profit taxes fell eur mn quarter compared eur mn corresponding period,"['company', 'profit', 'taxis', 'eur', 'mn', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,0,august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened m half m corresponding period year earlier,"['august', 'finnish', 'equipment', 'maker', 'vaisala', 'oyj', 'hel', 'vaias', 'today', 'net', 'loss', 'm', 'half', 'corresponding', 'period', 'year', 'early']"
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0,finnish power supply solutions systems provider efore oyj said net loss widened mln euro mln quarter fiscal ending october euro mln period fiscal,"['finnish', 'power', 'supply', 'solution', 'system', 'provider', 'efore', 'oyj', 'net', 'loss', 'mln', 'euro', 'mln', 'quarter', 'fiscal', 'october', 'euro', 'mln', 'period', 'fiscal']"
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0,adp news apr finnish business information systems developer solteq oyj hel said today net loss widened eur usd quarter eur peri,"['adp', 'news', 'finnish', 'business', 'information', 'system', 'developer', 'solteq', 'oyj', 'hel', 'today', 'net', 'loss', 'eur', 'usd', 'quarter', 'eur', 'peri']"
Salonen added that data shows producers ' pulp inventories in North America are declining . ',0,salonen added data shows producers pulp inventories north america declining,"['salonen', 'datum', 'producer', 'pulp', 'inventory', 'north', 'america']"
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,0,elcoteq group recently announced months previous year brought major loss half billion kroons eur mln fifth quarter running,"['elcoteq', 'group', 'recently', 'month', 'previous', 'year', 'major', 'loss', 'half', 'kroon', 'eur', 'mln', 'fifth', 'quarter']"
Cash Flow from Operations for the most recent quarter also reached a eight year low .,0,cash flow operations recent quarter reached year low,"['cash', 'flow', 'operation', 'recent', 'quarter', 'year', 'low']"
"At this growth rate , paying off the national debt will be extremely painful .",0,growth rate paying national debt extremely painful,"['growth', 'rate', 'national', 'debt', 'extremely', 'painful']"
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0,net sales finnish sanoma learning literature finnish media group sanoma decreased january june totalling eur mn eur mn corresponding period,"['net', 'sale', 'finnish', 'sanoma', 'literature', 'finnish', 'medium', 'group', 'sanoma', 'january', 'june', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",0,jp morgan expects scala lower nobel biocare growth forecast current guidance pct operating margin target current pct,"['jp', 'morgan', 'scala', 'low', 'nobel', 'biocare', 'growth', 'current', 'guidance', 'pct', 'margin', 'target', 'current', 'pct']"
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",0,furthermore sales new passenger cars light commercial vehicles country declined year year month,"['furthermore', 'sale', 'new', 'passenger', 'car', 'light', 'commercial', 'vehicle', 'country', 'year', 'year', 'month']"
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",0,profitability ebit compared,"['profitability', 'ebit']"
Sales of mid-strength beer decreased by 40 % .,0,sales mid strength beer decreased,"['sale', 'mid', 'strength', 'beer']"
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0,shares royal sun alliance continued slide month high month potential suitor ruled takeover bid,"['royal', 'sun', 'alliance', 'slide', 'month', 'high', 'month', 'potential', 'suitor', 'takeover', 'bid']"
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",0,managing director comments net sales quarter notably lower year especially finland russia baltic countries,"['director', 'net', 'sale', 'quarter', 'notably', 'low', 'year', 'especially', 'finland', 'russia', 'baltic', 'country']"
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",0,adp news feb finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur million usd m january year yea,"['adp', 'news', 'feb', 'finnish', 'retailer', 'hel', 'kesbv', 'today', 'total', 'sale', 'value', 'tax', 'vat', 'eur', 'usd', 'm', 'january', 'year', 'yea']"
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,"['quarter', 'fiscal', 'efore', 'swung', 'net', 'loss', 'eur', 'net', 'profit', 'eur', 'corresponding', 'period', 'fiscal']"
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",0,konecranes oyj fh fell percent euros biggest fall june,"['konecranes', 'oyj', 'fh', 'percent', 'big', 'fall', 'june']"
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,0,operating loss totaled eur compared profit eur corresponding period,"['loss', 'eur', 'profit', 'eur', 'corresponding', 'period']"
