sentence,label,clean_sentence,tokens
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",1,according gran company plans production russia company growing,"['gran', 'company', 'production', 'russia', 'company']"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",2,quarter componenta net sales doubled m m period year earlier moved zero pre tax profit pre tax loss m,"['quarter', 'componenta', 'net', 'sale', 'm', 'm', 'period', 'year', 'early', 'pre', 'tax', 'profit', 'tax', 'loss']"
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",2,quarter net sales increased eur mn operating profit eur mn,"['quarter', 'net', 'sale', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2,operating profit rose eur mn eur mn corresponding period representing net sales,"['operating', 'profit', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', 'net', 'sale']"
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,operating profit totalled eur mn eur mn representing net sales,"['profit', 'eur', 'mn', 'eur', 'mn', 'net', 'sale']"
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",2,finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn,"['finnish', 'talentum', 'operating', 'profit', 'eur', 'mn', 'eur', 'mn', 'net', 'sale', 'eur', 'mn', 'eur', 'mn']"
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,clothing retail chain sales increased eur mn operating profit rose eur mn eur mn,"['clothing', 'retail', 'chain', 'sale', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn', 'eur', 'mn']"
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2,consolidated net sales increased reach m operating profit amounted m compared loss m prior year period,"['consolidated', 'net', 'sale', 'reach', 'profit', 'loss', 'prior', 'year', 'period']"
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",2,foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period,"['foundry', 'division', 'sale', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', 'sale', 'machine', 'shop', 'division', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",2,helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said,"['helsinki', 'afx', 'share', 'high', 'nokia', 'plan', 'team', 'sanyo', 'g', 'handsets', 'nokian', 'tyre', 'fourth', 'quarter', 'earning', 'report', 'analyst', 'expectation', 'dealer']"
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2,board directors propose dividend share share paid,"['board', 'director', 'dividend', 'share', 'share']"
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",2,megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates,"['megafon', 'subscriber', 'base', 'user', 'december', 'market', 'share', 'number', 'customer', 'late', 'late', 'teliasonera', 'estimate']"
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2,net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period,"['net', 'income', 'life', 'insurance', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,net sales increased m m pretax profit rose,"['net', 'sale', 'm', 'pretax', 'profit']"
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2,net sales surged teleste said m sales came acquisitions,"['net', 'sale', 'teleste', 'm', 'sale', 'acquisition']"
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,nordea group operating profit increased percent year year billion euros total revenue percent billion euros,"['nordea', 'group', 'operating', 'profit', 'percent', 'year', 'year', 'euro', 'total', 'revenue', 'percent', 'euro']"
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",2,operating profit month period increased m net sales increased m compared corresponding period,"['profit', 'month', 'period', 'net', 'sale', 'corresponding', 'period']"
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,operating profit month period increased m revenue increased m compared corresponding period,"['profit', 'month', 'period', 'm', 'revenue', 'corresponding', 'period']"
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,company net profit rose year million euros sales million euros year company said earlier,"['company', 'net', 'profit', 'year', 'euro', 'sale', 'euro', 'year', 'company', 'early']"
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,lithuanian beer market million liters january rise percent year earlier figure lithuanian brewers association reporting citing results members,"['lithuanian', 'beer', 'market', 'liter', 'rise', 'percent', 'year', 'early', 'figure', 'lithuanian', 'brewer', 'association', 'result', 'member']"
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,viking line cargo revenue increased eur mn cargo volume increased cargo units,"['line', 'cargo', 'revenue', 'eur', 'mn', 'cargo', 'volume', 'cargo', 'unit']"
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,fair value property portfolio doubled result kapiteeli acquisition totalled eur million,"['fair', 'value', 'property', 'portfolio', 'result', 'kapiteeli', 'acquisition', 'eur']"
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,february finnish media company sanoma oyj hel said yesterday net profit tripled m m announced proposal raised payout,"['february', 'finnish', 'medium', 'company', 'sanoma', 'oyj', 'hel', 'yesterday', 'net', 'profit', 'm', 'proposal', 'payout']"
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,helsinki eliiv today reported eps increase eps,"['helsinki', 'eliiv', 'today']"
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,commission income increased eur mn lending volume rose,"['commission', 'income', 'eur', 'mn', 'lending', 'volume']"
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose,"['january', 'traffic', 'revenue', 'passenger', 'kilometre', 'rpk', 'capacity', 'available', 'seat', 'kilometre']"
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,january september fiskars net profit went year year eur million net sales eur million eur million,"['january', 'september', 'fiskar', 'net', 'profit', 'year', 'year', 'eur', 'net', 'sale', 'eur', 'eur']"
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,net income life insurance rose eur mn eur mn net income non life insurance eur mn eur mn,"['net', 'income', 'life', 'insurance', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'eur', 'mn', 'eur', 'mn']"
Sales have risen in other export markets .,2,sales risen export markets,"['sale', 'export', 'market']"
Sales increased due to growing market rates and increased operations .,2,sales increased growing market rates increased operations,"['sale', 'market', 'rate', 'operation']"
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,agreement strengthens long term partnership nokia siemens networks,"['agreement', 'long', 'term', 'partnership', 'nokia', 'network']"
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,company order book stood bln euro bln september pct year international orders amounting mln euro mln,"['company', 'order', 'book', 'bln', 'euro', 'bln', 'september', 'pct', 'year', 'international', 'order', 'mln', 'euro', 'mln']"
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,company said paper demand increased main markets including publication papers increased average paper prices percent compared year,"['company', 'paper', 'demand', 'main', 'market', 'publication', 'paper', 'average', 'paper', 'price', 'percent', 'year']"
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,world second largest stainless steel maker said net profit month period surged million million share million share previous year,"['world', 'second', 'large', 'stainless', 'steel', 'maker', 'net', 'profit', 'month', 'period', 'share', 'share', 'previous', 'year']"
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs,"['standard', 'chartered', 'stan', 'ftse', 'royal', 'bank', 'scotland', 'rbs', 'share', 'barclay', 'share', 'barc', 'bcs']"
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,shares nokia rose thursday cell phone maker said quarter earnings doubled share global handset market increased,"['share', 'nokia', 'thursday', 'cell', 'phone', 'maker', 'quarter', 'earning', 'share', 'global', 'handset', 'market']"
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,financial report published friday seb said net profit soared bn year earlier bn proposed dividend increase share,"['financial', 'report', 'friday', 'seb', 'net', 'profit', 'year', 'early', 'dividend', 'increase', 'share']"
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,request finnish media company alma media newspapers research manager jari kaivo oja finland futures research centre turku school economics drawn future scenario finland national economy model developed university denver,"['finnish', 'medium', 'company', 'alma', 'medium', 'newspaper', 'research', 'manager', 'jari', 'kaivo', 'oja', 'finland', 'future', 'research', 'centre', 'school', 'economic', 'future', 'scenario', 'finland', 'national', 'economy', 'model', 'university', 'denver']"
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1,stock exchange announcement july basware share subscriptions warrants increase share capital total shares subscribed basware warrant program,"['stock', 'exchange', 'announcement', 'july', 'basware', 'share', 'subscription', 'warrant', 'share', 'capital', 'total', 'share', 'basware', 'warrant', 'program']"
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,maximum new shares subscribed exercising b options stock option plan,"['maximum', 'new', 'share', 'b', 'option', 'stock', 'option', 'plan']"
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1,tiimari operates stores countries including core finnish market generated turnover mln eur,"['tiimari', 'store', 'country', 'core', 'finnish', 'market', 'turnover', 'eur']"
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2,acquisition considerably increase kemira sales market position russian metal industry coatings market,"['acquisition', 'considerably', 'kemira', 'sale', 'market', 'position', 'russian', 'metal', 'industry', 'coating', 'market']"
